# Entry-point documentation, extracted from the LY_DEFINE and
# LY_DEFINE_WITH_SETTER macros of LilyPond v2.27.2
# (commit 2d621459bd44cb1758f822a69757242eab843060), lily/*.cc.
#
# Upstream registers these from the macro into a hash table
# (lily/function-documentation.cc:58) that ly:get-all-function-documentation
# hands to scm/document-functions.scm. The port's entry points are C#
# lambdas with nowhere to carry a docstring, so the data is carried here and
# registered at CreateInterpreter -- see FunctionDocumentation.cs.
#
# Columns: scheme-name, source, arglist, docstring.
# The arglist is stringified as the C preprocessor would leave #ARGLIST:
# every run of whitespace collapsed to one space. \n is a newline.
#
# THREE RULES DECIDE WHAT IS IN HERE, and each was added because taking the
# source at face value put something in the generated manual that the oracle
# does not have:
#
#   * A docstring may be a C++ RAW STRING LITERAL WITH A NON-EMPTY DELIMITER,
#     R"delim( ... )delim", which is how LilyPond writes any docstring that
#     contains a quotation mark. Reading only R"( ... )" leaves 'delim(' in
#     the text and drops every embedded quoted string.
#
#   * A SMOB TYPE PREDICATE is included only when its class actually derives
#     from a smob base (class OR struct -- Duration and Tuplet_description are
#     structs). Smob_base<T>::init() defines the predicate, so a class that
#     merely declares type_p_name_ never gets one: lily/include/box.hh does
#     exactly that, and the oracle answers #f to (defined? 'ly:box?).
#
#   * An entry point behind a build flag the oracle build does not set is
#     skipped -- #if GS_API, which is why ly:gs-api and ly:shutdown-gs are
#     absent here and unbound there.
#
# Regenerate with tools/table-extract/extract-entry-point-docs.py.
ly:add-context-mod	context-mod-scheme.cc	(SCM contextmods, SCM modification)	\nAdds the given context @var{modification} to the list @var{contextmods} of\ncontext modifications.\n           
ly:add-interface	grob-interface-scheme.cc	(SCM iface, SCM desc, SCM props)	\nAdd a new grob interface.  @var{iface} is the interface name, @var{desc} is the\ninterface description, and @var{props} is the list of user-settable properties\nfor the interface.\n           
ly:add-listener	dispatcher-scheme.cc	(SCM callback, SCM disp, SCM cl)	\nAdd the single-argument procedure @var{callback} as listener to the dispatcher\n@var{disp}.  Whenever @var{disp} hears an event of class @var{cl}, it calls\n@var{callback} with it.\n           
ly:add-option	program-option-scheme.cc	(SCM sym, SCM val, SCM description, SCM rest)	\nAdd program option @var{sym} with default value @var{val} and docstring\n@var{description}.\n\nLilyPond uses this function to define Scheme options available on the command\nline (given by @option{-d} or @option{--define-default}).\n\nAfter start-up, command-line Scheme options are provided to LilyPond by function\n@code{ly:command-line-options}, which returns a key-value alist where all values\nare Scheme strings.  Use the optional argument @code{#:type} to specify how such\na value string for key @var{sym} should be processed by @code{ly:set-option}.\n\n@itemize\n@item\nIf set to symbol @code{string}, don't do any further conversion and accept the\nvalue as a string.  This is also necessary if a potentially fitting type\npredicate gets defined after LilyPond's command-line option handling (for\nexample, @code{ly:duration?}).  In such cases, type checking should be performed\nmanually later on.\n\n@item\nIf set to symbol @code{string-or-boolean}, do the same as with @code{string} but\nconvert strings @code{"#f"} and @code{"#t"} to Boolean values.\n\n@item\nIf set to symbol @code{string-or-false}, do the same as with @code{string} but\nconvert a string value @code{"#f"} to Boolean value @code{#f}.\n\n@item\nIf set to a procedure, handle the value as a Scheme expression and use the\nprocedure as a predicate to check whether the value fits.  This is also the\ndefault behaviour if @code{#:type} is not set, using @code{boolean?} as the\nprocedure.\n\n@item\nIf set to a list, handle the value as a Scheme expression and check whether it\nis one of the list's elements (using @code{equal?} for the comparison test).\n@end itemize\n\n@q{Handling as a Scheme expression} means that the string gets passed to the\n@code{read} Scheme function, which stops reading after the first complete Scheme\nexpression has been parsed.  As a consequence, both strings @code{"foo"} and\n@code{"foo bar"} get converted to symbol @code{foo}, while a string\n@code{"(foo"} causes an error because the Scheme expression is not complete.\n\nPassing @code{#:internal? #t} makes the option an internal option, not\ndisplayed in the @command{lilypond -dhelp} output (but displayed in\n@command{lilypond -dhelp-internal}.\n\nPassing @code{#:accumulative? #t} makes the option accumulative,\nwhich gathers @option{-d} values in a list instead of letting the\nlast @option{-d} flag overwrite the others.\n           
ly:all-grob-interfaces	grob-interface-scheme.cc	()	\nReturn the hash table with all grob interface descriptions.\n           
ly:all-options	program-option-scheme.cc	()	\nGet all option settings in an alist.\n           
ly:all-stencil-expressions	stencil-scheme.cc	()	\nReturn all symbols recognized as stencil expressions.\n           
ly:angle	stencil-scheme.cc	(SCM x, SCM y)	\nCalculate angle in degrees of given vector.  With one argument, @var{x}@tie{}is\na number pair indicating the vector.  With two arguments, @var{x}\nand@tie{}@var{y} specify the respective coordinates.\n           
ly:append-to-option	program-option-scheme.cc	(SCM var, SCM val)	\nAdd value @var{val} to an accumulative program option @var{var}.\n\nSee also function @code{ly:add-option}.\n           
ly:assoc-get	general-scheme.cc	(SCM key, SCM alist, SCM default_value, SCM strict_checking)	\nReturn value if @var{key} in @var{alist}, else @var{default-value} (or\n@code{#f} if not specified).  If @var{strict-checking} is set to @code{#t} and\n@var{key} is not in @var{alist}, a programming error is output.\n           
ly:axis-group-interface::add-element	axis-group-interface-scheme.cc	(SCM grob, SCM grob_element)	\nAdd @var{grob-element} to the axis group @var{grob}.  In particular, @var{grob}\nbecomes parent to @var{grob-element} on all axes supported by @var{grob},\nunless the parents are already set.\n           
ly:base64-encode	general-scheme.cc	(SCM bv)	\nEncode the given bytevector as a base 64 string.\n           
ly:basic-progress	warn-scheme.cc	(SCM str, SCM rest)	\nA Scheme callable function to issue a basic progress message @var{str}.  The\nmessage is formatted with @code{format}; @var{rest} holds the formatting\narguments (if any).\n           
ly:bezier-extent	bezier-scheme.cc	(SCM control_points, SCM axis)	\nCompute the extent of the Bézier curve defined by @var{control-points}\nalong @var{axis}.\n           
ly:bezier-extract	bezier-scheme.cc	(SCM control_points, SCM t_min, SCM t_max)	\nReturn a sub-curve of the Bézier curve defined by\n@var{control-points}.  The sub-curve is delimited by the curve points\nindexed by @var{t-min} and @var{t-max} (between 0 and 1, 0 = first\ncontrol point, 1 = last control point).  A sub-curve of a Bézier curve\nis in turn a Bézier curve.\n           
ly:book-add-bookpart!	book-scheme.cc	(SCM book_smob, SCM book_part)	\nAdd @var{book-part} to @var{book-smob} book part list.\n           
ly:book-add-score!	book-scheme.cc	(SCM book_smob, SCM score)	\nAdd @var{score} to @var{book-smob} score list.\n           
ly:book-book-parts	book-scheme.cc	(SCM book)	\nReturn book parts in @var{book}.\n           
ly:book-header	book-scheme.cc	(SCM book)	\nReturn header in @var{book}.\n           
ly:book-paper	book-scheme.cc	(SCM book)	\nReturn paper in @var{book}.\n           
ly:book-process	book-scheme.cc	(SCM book_smob, SCM default_paper, SCM default_layout, SCM output)	\nPrint book.  @var{output} is passed to the backend unchanged.  For example, it\nmay be a string (for file based outputs) or a socket (for network based\noutput).\n           
ly:book-process-to-systems	book-scheme.cc	(SCM book_smob, SCM default_paper, SCM default_layout, SCM output)	\nPrint book.  @var{output} is passed to the backend unchanged.  For example, it\nmay be a string (for file based outputs) or a socket (for network based\noutput).\n           
ly:book-scores	book-scheme.cc	(SCM book)	\nReturn scores in @var{book}.\n           
ly:book-set-header!	book-scheme.cc	(SCM book, SCM module)	\nSet the book header.\n           
ly:book?	book-scheme.cc	(SCM x)	Is @var{x} a smob of class @code{Book}?
ly:bp	dimensions-scheme.cc	(SCM num)	\n@var{num} bigpoints (1/72th inch).\n           
ly:bracket	stencil-scheme.cc	(SCM a, SCM iv, SCM t, SCM p)	\nMake a bracket in direction@tie{}@var{a}.  The extent of the bracket is given\nby @var{iv}.  The wings protrude by an amount of@tie{}@var{p}, which may be\nnegative.  The thickness is given by@tie{}@var{t}.\n           
ly:break-alignment-interface::find-nonempty-break-align-group	break-alignment-interface.cc		\nFind the @code{BreakAlignGroup} with the given break-align-symbol in this\n@code{BreakAlignment}.  Return @code{#f} if there is no such group.  Also\nreturn @code{#f} if the group has empty @code{X-extent}, which can happen if\nit contains only omitted items.\n                                 
ly:broadcast	dispatcher-scheme.cc	(SCM disp, SCM ev)	\nSend the stream event @var{ev} to the dispatcher @var{disp}.\n           
ly:cairo-output-stencil	cairo.cc	(SCM basename, SCM stencil, SCM paper, SCM formats)	\ndump a single stencil through the Cairo backend\n           
ly:cairo-output-stencils	cairo.cc	(SCM basename, SCM stencils, SCM header, SCM paper, SCM formats)	\ndump book through cairo backend\n           
ly:camel-case->lisp-identifier	general-scheme.cc	(SCM name_sym)	\nConvert @code{FooBar_Bla} to @code{foo-bar-bla} style symbol.\n           
ly:chain-assoc-get	general-scheme.cc	(SCM key, SCM achain, SCM default_value, SCM strict_checking)	\nReturn value for @var{key} from a list of alists @var{achain}.  If no entry is\nfound, return @var{default-value} or @code{#f} if @var{default-value} is not\nspecified.  With @var{strict-checking} set to @code{#t}, a programming error is\noutput in such cases.\n           
ly:check-expected-warnings	warn-scheme.cc	()	\nCheck whether all expected warnings have really been triggered.\n           
ly:cm	dimensions-scheme.cc	(SCM num)	\n@var{num} cm.\n           
ly:command-line-code	program-option-scheme.cc	()	\nThe Scheme code specified on the command line with option @option{-e}.\n           
ly:command-line-options	program-option-scheme.cc	()	\nThe Scheme options specified on the command line with option @option{-d}.\n\nReturn a key-value alist, with keys being symbols and values being strings.\n           
ly:connect-dispatchers	dispatcher-scheme.cc	(SCM to, SCM from)	\nMake the dispatcher @var{to} listen to events from @var{from}.\n           
ly:context-alias?	context-scheme.cc	(SCM context, SCM name)	\nIs @var{name} the name or an alias of @var{context}?\n           
ly:context-children	context-scheme.cc	(SCM context)	\nReturn a list with the children contexts of @var{context}.\n           
ly:context-current-moment	context-scheme.cc	(SCM context)	\nReturn the current moment of @var{context}.\n           
ly:context-def-lookup	context-def.cc	(SCM def, SCM sym, SCM val)	\nReturn the value of @var{sym} in context definition @var{def} (e.g.,\n@code{\\Voice}).  If no value is found, return @var{val} or @code{'()} if\n@var{val} is undefined.  @var{sym} can be any of @samp{default-child},\n@samp{consists}, @samp{description}, @samp{aliases}, @samp{accepts},\n@samp{property-ops}, @samp{context-name}, @samp{group-type}.\n           
ly:context-def-modify	context-def.cc	(SCM def, SCM mod)	\nReturn the result of applying the context-mod @var{mod} to the context\ndefinition @var{def}.  Does not change @var{def}.\n           
ly:context-def?	context-def.cc	(SCM x)	Is @var{x} a smob of class @code{Context_def}?
ly:context-event-source	context-scheme.cc	(SCM context)	\nReturn @code{event-source} of @var{context}.\n           
ly:context-events-below	context-scheme.cc	(SCM context)	\nReturn a @code{stream-distributor} that distributes all events from\n@var{context} and all its subcontexts.\n           
ly:context-find	context-scheme.cc	(SCM context, SCM name)	\nFind a context with name or alias @var{name}, first considering @var{context}\nand then searching its ancestors.  Return @code{#f} if not found.\n           
ly:context-grob-definition	context-scheme.cc	(SCM context, SCM name)	\nReturn the definition of @var{name} (a symbol) within @var{context} as an\nalist.\n           
ly:context-id	context-scheme.cc	(SCM context)	\nReturn the ID string of @var{context}, i.e., for @code{\\context Voice = "one"\n@dots{}} return the string @code{one}.\n           
ly:context-matched-pop-property	context-scheme.cc	(SCM context, SCM grob, SCM cell)	\nThis undoes a particular @code{\\override}, @code{\\once \\override} or\n@code{\\once \\revert} when given the specific alist pair to undo.\n           
ly:context-mod-apply!	context-mod-scheme.cc	(SCM context, SCM mod)	\nApply the context modification @var{mod} to @var{context}.\n           
ly:context-mod?	context-mod.cc	(SCM x)	Is @var{x} a smob of class @code{Context_mod}?
ly:context-name	context-scheme.cc	(SCM context)	\nReturn the name of @var{context}, i.e., for @code{\\context Voice = "one"\n@dots{}} return the symbol @code{Voice}.\n           
ly:context-output-def	context-scheme.cc	(SCM context)	\nReturn the output definition of @var{context}.\n           
ly:context-parent	context-scheme.cc	(SCM context)	\nReturn the parent of @var{context}, @code{#f} if none.\n           
ly:context-property	context-scheme.cc	(SCM context, SCM name, SCM rest)	\nGet the value of property @var{name} visible in @var{context}.  The first\n@var{rest} argument may optionally be an alternative value to return when the\nproperty value is @code{'()}.  Following that, there may appear keyword options:\n\n@indentedblock\n@table @code\n@item #:default\nThe value to return when the property is not set.  When this option is absent,\nthe same value is returned as when the property value is @code{'()}.\n@item #:search-ancestors?\n@code{#f} limits the search to @var{context}.  The default is @code{#t}.\n@end table\n@end indentedblock\n                       
ly:context-property-where-defined	context-scheme.cc	(SCM context, SCM name, SCM def)	\nReturn the context above @var{context} where property @var{name} is defined, or\n@var{def} (defaulting to @code{'()}) if no such context is found.\n           
ly:context-pushpop-property	context-scheme.cc	(SCM context, SCM grob, SCM eltprop, SCM val)	\nDo @code{\\temporary \\override} or @code{\\revert} operation in @var{context}.\nThe grob definition @var{grob} is extended with @var{eltprop} (if @var{val} is\nspecified) or reverted (if unspecified).\n           
ly:context-schedule-moment	global-context-scheme.cc	(SCM context, SCM moment)	\nAdd @var{moment} (which must lie in the future) to the list of moments to\nprocess for the global context governing @var{context}.  This makes it possible\nfor translators (engravers, performers) to act at moments not directly created\nby user input.\n           
ly:context-set-property!	context-scheme.cc	(SCM context, SCM name, SCM val)	\nSet value of property @var{name} in @var{context} to @var{val}.\n           
ly:context-unset-property	context-scheme.cc	(SCM context, SCM name)	\nUnset value of property @var{name} in @var{context}.\n           
ly:context?	context.cc	(SCM x)	Is @var{x} a smob of class @code{Context}?
ly:debug	warn-scheme.cc	(SCM str, SCM rest)	\nA Scheme callable function to issue a debug message @var{str}.  The message is\nformatted with @code{format}; @var{rest} holds the formatting arguments (if\nany).\n           
ly:deprecation-warning	warn-scheme.cc	(SCM str, SCM rest)	\nIssue the warning @var{str} about the use of a deprecated feature.\n\nThe message is formatted with @code{format}; @var{rest} holds the formatting\narguments (if any).\n\nDuplicate warnings are suppressed.  Duplicates are recognized by the formatted\nmessage, not by the format string alone.  Including highly variable information\nin the message (e.g., the arguments passed to a deprecated function) will\ndefeat this check and consume more memory.  This function returns @code{#f} if\nit did not log the message.\n\nDo not use this function merely as a rate-limited warning.  There may be\nprogram options affecting the handling of deprecation warnings that are not\nappropriate for warnings in general.\n           
ly:dimension?	general-scheme.cc	(SCM d)	\nIs @var{d} a dimension?  Used to distinguish length variables from normal\nnumbers.\n           
ly:dir?	general-scheme.cc	(SCM s)	\nIs @var{s} a direction?  Valid directions are @w{@code{-1}}, @code{0},\nor@tie{}@code{1}, where @w{@code{-1}} represents left or down,\n@code{1}@tie{}represents right or up, and @code{0} represents a neutral\ndirection.\n           
ly:directed	stencil-scheme.cc	(SCM direction, SCM magnitude)	\nCalculate an @code{(x . y)} pair with optional @var{magnitude} (defaulting to\n@code{1.0}) and @var{direction} specified either as an angle in degrees or a\ncoordinate pair giving the direction.  If @var{magnitude} is a pair, the\nrespective coordinates are scaled independently, useful for ellipse drawings.\n           
ly:disconnect-dispatchers	dispatcher-scheme.cc	(SCM to, SCM from)	\nStop the dispatcher @var{to} listening to events from @var{from}.\n           
ly:dispatcher?	dispatcher.cc	(SCM x)	Is @var{x} a smob of class @code{Dispatcher}?
