# Translator documentation metadata, extracted from the ADD_TRANSLATOR
# macros and boot() listener declarations of LilyPond v2.27.2
# (commit 2d621459bd44cb1758f822a69757242eab843060), lily/*.cc.
#
# Upstream assembles this alist in Translator::static_translator_description
# (lily/translator.cc:126) from data that exists only at C++ compile time.
# The port's translators are C# classes, so the data is carried here and
# registered at CreateInterpreter -- see TranslatorDescriptionTable.cs.
#
# Columns: name, source, grobs-created, properties-read,
#          properties-written, events-accepted, description.
# Symbol lists are space separated; \n in a description is a newline.
#
# Regenerate with tools/table-extract/extract-translator-descriptions.py.
Accidental_engraver	accidental-engraver.cc	Accidental AccidentalCautionary AccidentalPlacement AccidentalSuggestion	autoAccidentals autoCautionaries internalBarNumber extraNatural harmonicAccidentals accidentalGrouping keyAlterations localAlterations	localAlterations		Make accidentals.  Catch note heads, ties and notices key-change events.  This\nengraver usually lives at Staff level, but reads the settings for Accidental at\n@code{Voice} level, so you can @code{\\override} them at @code{Voice}.
Ambitus_engraver	ambitus-engraver.cc	AccidentalPlacement Ambitus AmbitusAccidental AmbitusLine AmbitusNoteHead	keyAlterations middleCPosition middleCClefPosition middleCCuePosition middleCOffset staffLineLayoutFunction			Create an ambitus.
Arpeggio_engraver	arpeggio-engraver.cc	Arpeggio ChordBracket ChordSlur			arpeggio-event chord-slur-event non-arpeggiato-event	Create arpeggiato and non-arpeggiato symbols.
Auto_beam_engraver	auto-beam-engraver.cc	Beam	autoBeaming beamExceptions beamHalfMeasure beatBase beatStructure subdivideBeams		beam-forbid-event beam-break-event	Generate beams based on measure characteristics and observed Stems.  Uses\n@code{beatBase}, @code{beatStructure}, @code{beamExceptions},\n@code{measureLength}, and @code{measurePosition} to decide when to start and\nstop a beam.  Overriding beaming is done through @iref{Stem_engraver} properties\n@code{stemLeftBeamCount} and @code{stemRightBeamCount}.
Axis_group_engraver	axis-group-engraver.cc	VerticalAxisGroup	currentCommandColumn keepAliveInterfaces hasAxisGroup	hasAxisGroup		Group all objects created in this context in a @code{VerticalAxisGroup}\nspanner.
Balloon_engraver	balloon-engraver.cc	BalloonText			annotate-output-event	Create balloon texts.
Bar_engraver	bar-engraver.cc	BarLine	caesuraType caesuraTypeTransform doubleRepeatBarType doubleRepeatSegnoBarType endRepeatBarType endRepeatSegnoBarType fineBarType fineSegnoBarType fineStartRepeatSegnoBarType forbidBreakBetweenBarLines measureBarType printInitialRepeatBar printTrivialVoltaRepeats repeatCommands sectionBarType segnoBarType segnoStyle startRepeatBarType startRepeatSegnoBarType submeasureBarsEnabled submeasureBarType submeasureStructure underlyingRepeatBarType whichBar	currentBarLine forbidBreak	caesura-event segno-mark-event fine-event section-event ad-hoc-jump-event coda-mark-event dal-segno-event	Create bar lines for various commands, including @code{\\\\bar}.\n\nIf @code{forbidBreakBetweenBarLines} is true, allow line breaks at bar lines\nonly.
Bar_number_engraver	bar-number-engraver.cc	BarNumber CenteredBarNumber	alternativeNumber alternativeNumberingStyle barNumberFormatter barNumberVisibility centerBarNumbers currentBarNumber currentCommandColumn forbidBreak forceBreak measurePosition stavesFound			A bar number may be created at any bar line, subject to the\n@code{barNumberVisibility} callback.  By default, it is put on top of all\nstaves and appears only at the left side of the staff.  The staves are taken\nfrom @code{stavesFound}, which is maintained by\n@iref{Staff_collecting_engraver}.  This engraver usually creates\n@code{BarNumber} grobs, but when @code{centerBarNumbers} is true, it makes\n@code{CenteredBarNumber} grobs instead.
Beam_collision_engraver	beam-collision-engraver.cc					Help beams avoid colliding with notes and clefs in other voices.
Beam_engraver	beam-engraver.cc	Beam	beamMelismaBusy beatBase beatStructure subdivideBeams		beam-event	Handle @code{Beam} events by engraving beams.  If omitted, then notes are\nprinted with flags instead of beams.
Beam_performer	beam-performer.cc				beam-event	
Break_align_engraver	break-align-engraver.cc	BreakAlignment BreakAlignGroup LeftEdge				Align grobs with corresponding @code{break-align-symbols} into groups, and\norder the groups according to @code{breakAlignOrder}.  The left edge of the\nalignment gets a separate group, with a symbol @code{left-edge}.
Caesura_engraver	caesura-engraver.cc	BreathingSign CaesuraScript	breathMarkDefinitions caesuraType caesuraTypeTransform scriptDefinitions		caesura-event	Notate a short break in sound that does not shorten the previous note.\n\nDepending on the result of passing the value of @code{caesuraType} through\n@code{caesuraTypeTransform}, this engraver may create a @code{BreathingSign}\nwith @code{CaesuraScript} grobs aligned to it, or it may create\n@code{CaesuraScript} grobs and align them to a @code{BarLine}.\n\nIf this engraver observes a @code{BarLine}, it calls\n@code{caesuraTypeTransform} again with the new information, and if necessary,\nrecreates its grobs.
Chord_tremolo_engraver	chord-tremolo-engraver.cc	Beam			tremolo-span-event	Generate beams for tremolo repeats.
Clef_engraver	clef-engraver.cc	Clef ClefModifier	clefGlyph clefTransposition clefTranspositionStyle clefPosition explicitClefVisibility forbidBreak forceBreak forceClef			Determine and set reference point for pitches.
Cluster_spanner_engraver	cluster-engraver.cc	ClusterSpanner ClusterSpannerBeacon			cluster-note-event	Engrave a cluster using @code{Spanner} notation.
Collision_engraver	collision-engraver.cc	NoteCollision				Collect @code{NoteColumns}, and as soon as there are two or more, put them in a\n@code{NoteCollision} object.
Completion_heads_engraver	completion-note-heads-engraver.cc	NoteHead Tie TieColumn	completionFactor completionUnit measureLength measurePosition middleCPosition timing	completionBusy	note-event	This engraver replaces @code{Note_heads_engraver}.  It plays some trickery to\nbreak long notes and automatically tie them into the next measure.
Completion_rest_engraver	completion-rest-engraver.cc	Rest	completionFactor completionUnit middleCPosition measurePosition measureLength	restCompletionBusy	rest-event	This engraver replaces @code{Rest_engraver}.  It plays some trickery to break\nlong rests into the next measure.
Concurrent_hairpin_engraver	concurrent-hairpin-engraver.cc					Collect concurrent hairpins.
Control_track_performer	control-track-performer.cc		midiSkipOffset			
Cue_clef_engraver	cue-clef-engraver.cc	CueClef CueEndClef ClefModifier	cueClefGlyph cueClefTransposition cueClefTranspositionStyle cueClefPosition explicitCueClefVisibility forbidBreak forceBreak middleCCuePosition clefTransposition			Determine and set reference point for pitches in cued voices.
Dot_column_engraver	dot-column-engraver.cc	DotColumn				Engrave dots on dotted notes shifted to the right of the note.  If omitted,\nthen dots appear on top of the notes.
Dots_engraver	dots-engraver.cc	Dots				Create @iref{Dots} objects for @iref{rhythmic-head-interface}s.
Double_percent_repeat_engraver	double-percent-repeat-engraver.cc	DoublePercentRepeat DoublePercentRepeatCounter	countPercentRepeats measureLength repeatCountVisibility	forbidBreak	double-percent-event	Make double measure repeats.
Drum_note_performer	drum-note-performer.cc				note-event tie-event articulation-event	Play drum notes.
Drum_notes_engraver	drum-note-engraver.cc	NoteHead Script	drumStyleTable		note-event	Generate drum note heads.
Dynamic_align_engraver	dynamic-align-engraver.cc	DynamicLineSpanner	currentMusicalColumn			Align hairpins and dynamic texts on a horizontal line.
Dynamic_engraver	dynamic-engraver.cc	DynamicTextSpanner DynamicText Hairpin	crescendoSpanner crescendoText currentMusicalColumn decrescendoSpanner decrescendoText		absolute-dynamic-event break-dynamic-span-event span-dynamic-event	Create hairpins, dynamic texts and dynamic text spanners.
Dynamic_performer	dynamic-performer.cc		dynamicAbsoluteVolumeFunction instrumentEqualizer midiMaximumVolume midiMinimumVolume midiInstrument		decrescendo-event crescendo-event absolute-dynamic-event	
Episema_engraver	episema-engraver.cc	Episema			episema-event	Create an @emph{Editio Vaticana}-style episema line.
Extender_engraver	extender-engraver.cc	LyricExtender	autoExtenders extendersOverRests		lyric-event hyphen-event extender-event completize-extender-event	Create lyric extenders.
Figured_bass_engraver	figured-bass-engraver.cc	BassFigure BassFigureAlignment BassFigureBracket BassFigureContinuation BassFigureLine	figuredBassAlterationDirection figuredBassCenterContinuations figuredBassFormatter implicitBassFigures useBassFigureExtenders ignoreFiguredBassRest		bass-figure-event rest-event	Make figured bass numbers.
Figured_bass_position_engraver	figured-bass-position-engraver.cc	BassFigureAlignmentPositioning				Position figured bass alignments over notes.
Fingering_column_engraver	fingering-column-engraver.cc	FingeringColumn				Find potentially colliding scripts and put them into a @code{FingeringColumn}\nobject; that will fix the collisions.
Fingering_engraver	fingering-engraver.cc	Fingering			fingering-event	Create fingering scripts.
Font_size_engraver	font-size-engraver.cc		fontSize			Put @code{fontSize} into @code{font-size} grob property.
Footnote_engraver	footnote-engraver.cc	Footnote				Create footnote texts.
Forbid_line_break_engraver	forbid-break-engraver.cc		busyGrobs	forbidBreak		Forbid line breaks when note heads are still playing at some point.
Fretboard_engraver	fretboard-engraver.cc	FretBoard	chordChanges defaultStrings highStringOne maximumFretStretch minimumFret noteToFretFunction predefinedDiagramTable stringTunings tablatureFormat		note-event string-number-event fingering-event	Generate fret diagram from one or more events of type @code{NoteEvent}.
