# CodeBrix.LilyPort ratchet -- every time a floor came DOWN, and why.
# Append-only, written by `ratchet.py rebaseline`. The manifest records
# what the floor IS; this records what happened to it, so a row that
# reads lower than a plan document claims can always be accounted for.
#
# date	name	from	to	reason
2026-08-07	measure-counter-grace.svg	GLYPHS-DIFFER	MISSING	GENUINE regression from EPG17's first slice, kept deliberately: registering the grace iterator constructor lets \grace be iterated for real, so the file now reaches the unported ly:spanner-broken-into (EPG15's break-substitution.cc). Its page existed only because the grace music was never iterated. Jeremy's ruling 2026-08-07: record the row coming down with the reason rather than reverting the port; the row returns when EPG15 lands.
2026-08-07	allow-break-ancient.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	apply-output.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	arpeggio-at-right-bracket.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	arpeggio-at-right-parenthesis-dashed.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	arpeggio-at-right-parenthesis.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	arpeggio-collision.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	arpeggio-span-collision-bracket.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	arpeggio-span-collision-parenthesis.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	arpeggio-span-collision.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
